respondent_id,survey_date,session_source,role,region,city,institution_type,institution_tier,delivery_mode,discipline,program_level,year_of_study,age,ai_literacy_1to5,digital_comfort_1to5,internet_quality_1to5,ai_use_days_per_week,time_saved_hours_per_week,primary_ai_tool,other_tools_used,top_ai_use_cases,assessment_context_most_impacted,institution_policy_awareness,institution_ai_stance,cites_ai_sources_rate_0to1,verifies_ai_outputs_rate_0to1,perceived_learning_benefit_1to5,perceived_cheating_risk_1to5,perceived_dependency_risk_1to5,trust_in_ai_outputs_1to5,fairness_equity_concern_1to5,plagiarism_or_misuse_flag,student_grade_change_pct,student_stress_change_index,student_critical_thinking_change_index,staff_reported_ai_misuse_cases_last_term,ai_training_hours_last_6_months,ai_adoption_category
R100081,2025-06-04,Panel Discussion Survey,Student,Canada,Ottawa,Public University,Tier 2,Hybrid,Medicine,Postgraduate,1,29,3,2,4,3,2.8,ChatGPT,Claude; Notion AI; QuillBot,Interview prep; Language improvement,In-class test,Heard of it,Not allowed,0.65,0.54,3,5,1,2,2,1,-3.1,-4.6,6.0,,0.0,Medium
R100082,2025-10-28,Panel Discussion Survey,Faculty,India,Mumbai,Private University,Tier 3,On-campus,Sciences,Staff,,56,4,2,4,4,4.8,Claude,Gemini; Grammarly; Midjourney,Coding help; Language improvement; Assignment writing,Online quiz,Heard of it,Unclear,0.46,0.59,3,4,3,4,3,0,,,,4.0,5.4,Medium
R100083,2025-04-30,Panel Discussion Survey,Student,India,Chennai,Private University,Tier 3,On-campus,Computer Science,Postgraduate,2,26,4,2,4,4,3.7,DALL·E,Midjourney; ChatGPT,Note-making; Research summarization; Coding help,In-class test,Read it,Unclear,0.23,0.65,5,4,2,3,3,1,-7.2,-1.3,0.3,,1.5,Medium
R100084,2025-05-11,Workshop Feedback,Student,India,Kolkata,EdTech Bootcamp,Tier 1,Hybrid,Business,Doctorate,5,30,4,2,4,4,7.7,Claude,ChatGPT; Grammarly,Note-making,Take-home assignment,Trained on it,Not allowed,0.49,0.57,5,3,5,4,4,0,1.7,0.8,-2.2,,0.0,Medium
R100085,2025-07-16,Panel Discussion Survey,Student,India,Kolkata,EdTech Bootcamp,Tier 1,On-campus,Sciences,Doctorate,1,34,2,2,4,2,2.9,ChatGPT,Gemini,Coding help,Online quiz,Trained on it,Not allowed,0.31,0.61,3,5,3,1,4,0,-2.2,-3.7,0.5,,5.4,Medium
R100086,2025-09-25,Panel Discussion Survey,Student,India,Pune,Community College,Tier 2,On-campus,Sciences,Undergraduate,3,17,4,2,4,5,5.4,ChatGPT,,Presentation creation; Coding help,Take-home assignment,Heard of it,Allowed with citation,0.34,0.64,5,5,4,4,1,0,1.9,-2.3,0.6,,2.1,High
R100087,2025-03-06,Panel Discussion Survey,Student,India,Delhi,Public University,Tier 1,On-campus,Engineering,Undergraduate,2,22,3,2,4,4,4.1,Grammarly,Notion AI; Copilot; QuillBot,Career guidance; Assignment writing; Interview prep,In-class test,Read it,Allowed (limited),0.05,0.22,3,4,3,3,5,1,0.7,-5.4,0.9,,0.8,Medium
R100088,2025-08-15,Workshop Feedback,Student,UAE,Dubai,Private University,Tier 2,Hybrid,Business,Undergraduate,4,18,3,2,4,5,5.7,Grammarly,,Coding help,Online quiz,Not aware,Not allowed,0.35,0.78,3,3,3,3,2,0,5.3,1.1,-0.9,,2.0,Medium
R100089,2025-05-31,Panel Discussion Survey,Student,India,Mumbai,Public University,Tier 1,On-campus,Engineering,Undergraduate,1,18,4,2,4,5,10.8,ChatGPT,,Exam revision,Take-home assignment,Read it,Allowed with citation,0.52,0.36,3,3,4,3,3,0,10.2,-0.8,-5.1,,0.7,High
R100090,2025-12-03,Panel Discussion Survey,Student,UK,London,K-12 School,Tier 2,Hybrid,Engineering,Undergraduate,1,17,3,2,4,3,1.0,ChatGPT,ChatGPT; Notion AI; Midjourney,Language improvement; Note-making,Project,Read it,Allowed with citation,0.49,0.45,2,3,4,3,3,0,2.7,0.0,2.6,,2.8,Medium
R100091,2025-02-08,Panel Discussion Survey,Student,Australia,Sydney,Public University,Tier 1,Online,Medicine,Undergraduate,3,18,3,2,4,4,7.0,Notion AI,,Interview prep; Career guidance; Note-making,Take-home assignment,Heard of it,Not allowed,0.35,0.91,3,2,5,2,1,0,8.2,-3.5,2.7,,3.2,Medium
R100092,2025-01-11,Panel Discussion Survey,Student,USA,San Francisco,Public University,Tier 2,Hybrid,Business,High School,9,14,2,2,4,2,3.5,Grammarly,QuillBot; ChatGPT; Claude,Quiz practice; Research summarization,Project,Not aware,Unclear,0.29,0.46,3,4,2,2,3,0,0.9,-4.6,3.8,,3.6,Medium
R100093,2025-04-10,Workshop Feedback,Student,India,Chennai,K-12 School,Tier 2,On-campus,Business,Undergraduate,2,18,5,2,4,7,11.5,ChatGPT,,Assignment writing; Quiz practice; Note-making,Take-home assignment,Read it,Allowed with citation,0.39,0.46,4,3,3,3,4,0,4.4,-3.8,-1.5,,1.9,High
R100094,2025-12-03,Panel Discussion Survey,Student,India,Bengaluru,Private University,Tier 2,On-campus,Arts/Humanities,Postgraduate,2,29,4,2,4,5,7.3,Copilot,Khanmigo,Interview prep; Research summarization; Exam revision,Project,Heard of it,Allowed with citation,0.59,0.59,4,4,4,4,4,0,6.2,2.8,3.8,,1.4,High
R100095,2025-09-05,Class Survey,Student,Australia,Melbourne,K-12 School,Tier 2,On-campus,Arts/Humanities,Undergraduate,3,22,3,2,4,4,4.8,Notion AI,DALL·E; Grammarly,Exam revision,In-class test,Trained on it,Unclear,0.19,0.54,3,3,4,4,3,0,6.0,-5.6,3.9,,4.1,Medium
R100096,2025-05-25,Panel Discussion Survey,Student,India,Mumbai,Public University,Tier 3,Hybrid,Arts/Humanities,Postgraduate,1,22,3,2,4,4,6.8,ChatGPT,ChatGPT; Gemini,Language improvement; Presentation creation; Note-making,Project,Read it,Allowed with citation,0.26,0.49,3,2,4,3,3,0,5.3,1.1,-0.6,,3.8,Medium
R100097,2025-01-18,Panel Discussion Survey,Student,India,Mumbai,K-12 School,Tier 3,Hybrid,Engineering,High School,11,15,3,2,4,6,7.7,Gemini,DALL·E,Quiz practice; Assignment writing; Interview prep,Online quiz,Read it,Allowed with citation,0.2,0.36,3,4,2,3,4,1,-1.9,-1.0,4.1,,0.8,High
R100098,2025-07-30,Panel Discussion Survey,Student,Singapore,Singapore,Public University,Tier 2,On-campus,Business,Undergraduate,3,17,3,2,4,4,6.3,DALL·E,Claude,Quiz practice; Note-making,In-class test,Not aware,Not allowed,0.33,0.22,5,3,2,5,3,0,3.2,-7.4,1.5,,3.4,Medium
R100099,2025-11-23,Panel Discussion Survey,Admin,Singapore,Singapore,Public University,Tier 1,On-campus,Engineering,Staff,,38,4,2,4,4,7.7,Midjourney,Gemini; ChatGPT,Coding help; Interview prep; Presentation creation,Online quiz,Trained on it,Not allowed,0.71,0.32,4,5,3,4,4,0,,,,2.0,8.5,Medium
R100100,2025-09-22,Workshop Feedback,Faculty,India,Kolkata,Private University,Tier 1,On-campus,Sciences,Staff,,29,3,2,4,2,2.6,Claude,,Language improvement; Exam revision,In-class test,Read it,Allowed (limited),0.14,0.31,5,3,1,4,3,0,,,,5.0,3.6,Medium
R100101,2025-01-09,Panel Discussion Survey,Student,USA,Boston,Public University,Tier 3,On-campus,Engineering,Undergraduate,1,19,2,2,4,4,4.0,Midjourney,Copilot; DALL·E; QuillBot,Interview prep; Assignment writing,In-class test,Heard of it,Unclear,0.33,0.6,5,3,2,2,2,0,1.1,-6.2,-0.1,,1.8,Medium
R100102,2025-10-31,Panel Discussion Survey,Student,UAE,Dubai,Community College,Tier 2,Online,Arts/Humanities,Undergraduate,1,19,3,2,4,4,3.5,Grammarly,ChatGPT; Gemini,Assignment writing,In-class test,Not aware,Allowed (limited),0.4,0.23,3,3,3,3,3,0,3.5,1.1,-1.2,,0.1,Medium
R100103,2025-03-24,Panel Discussion Survey,Admin,UK,Birmingham,Public University,Tier 3,On-campus,Medicine,Staff,,54,3,2,4,1,2.1,Stable Diffusion,,Assignment writing; Quiz practice,Project,Trained on it,Allowed with citation,0.23,0.48,4,4,2,2,1,0,,,,2.0,10.3,Medium
R100104,2025-10-07,Workshop Feedback,Student,India,Pune,Public University,Tier 2,On-campus,Sciences,Doctorate,1,29,3,2,4,4,3.0,Stable Diffusion,,Quiz practice; Assignment writing,Online quiz,Not aware,Not allowed,0.32,0.7,3,3,3,5,4,0,1.1,-2.0,4.7,,0.9,Medium
R100105,2025-12-06,Panel Discussion Survey,Student,India,Kolkata,K-12 School,Tier 1,On-campus,Engineering,High School,12,16,3,2,4,4,4.1,Notion AI,,Interview prep; Assignment writing,Viva/Oral,Not aware,Unclear,0.19,0.57,5,4,3,2,3,0,7.4,0.2,1.6,,4.8,Medium
R100106,2025-04-24,Panel Discussion Survey,Student,USA,New York,Public University,Tier 2,On-campus,Engineering,Undergraduate,1,23,3,2,4,3,1.7,Copilot,Khanmigo; Claude; Perplexity,Career guidance; Interview prep; Note-making,Take-home assignment,Not aware,Unclear,0.37,0.71,4,4,2,3,3,0,1.2,0.0,-2.2,,0.0,Medium
R100107,2025-11-04,Class Survey,Student,India,Hyderabad,Community College,Tier 3,On-campus,Sciences,Undergraduate,3,19,4,2,4,5,7.0,ChatGPT,Perplexity; Notion AI; ChatGPT,Assignment writing,Take-home assignment,Not aware,Allowed (limited),0.4,0.42,2,3,2,3,4,0,5.7,-9.7,-4.4,,2.5,High
R100108,2025-08-04,Workshop Feedback,Student,USA,Seattle,K-12 School,Tier 3,On-campus,Computer Science,Postgraduate,1,24,4,2,4,5,4.5,Perplexity,ChatGPT; DALL·E,Assignment writing; Interview prep,Online quiz,Heard of it,Unclear,0.69,0.64,4,5,4,3,3,0,-3.0,5.6,-0.6,,0.8,High
R100109,2025-01-26,Panel Discussion Survey,Faculty,India,Pune,Public University,Tier 1,On-campus,Arts/Humanities,Staff,,37,4,2,4,4,2.2,Claude,Copilot,Presentation creation; Language improvement,Online quiz,Not aware,Allowed with citation,0.28,0.74,3,4,3,4,4,0,,,,3.0,9.0,Medium
R100110,2025-05-10,Panel Discussion Survey,Student,Australia,Sydney,K-12 School,Tier 2,On-campus,Engineering,Postgraduate,2,25,4,2,4,6,5.0,Grammarly,DALL·E; Gemini,Exam revision,Take-home assignment,Heard of it,Allowed (limited),0.39,0.7,3,4,3,3,5,0,-0.7,5.2,-2.6,,0.0,High
R100111,2025-11-05,Panel Discussion Survey,Student,Canada,Ottawa,Public University,Tier 1,Hybrid,Sciences,Undergraduate,1,19,3,2,4,2,1.3,ChatGPT,ChatGPT; Claude,Research summarization; Coding help,In-class test,Read it,Unclear,0.28,0.61,3,3,3,3,3,0,3.9,-3.5,2.3,,1.4,Medium
R100112,2025-05-17,Panel Discussion Survey,Student,UAE,Abu Dhabi,Private University,Tier 3,Hybrid,Education,Undergraduate,4,23,3,2,4,6,6.2,Midjourney,,Interview prep; Exam revision,Viva/Oral,Heard of it,Unclear,0.59,0.23,4,4,2,4,2,0,2.5,-5.4,-4.3,,0.8,High
R100113,2025-10-27,Panel Discussion Survey,Student,Canada,Vancouver,Public University,Tier 2,On-campus,Computer Science,High School,10,18,2,2,4,3,4.1,Stable Diffusion,Copilot; ChatGPT,Coding help; Assignment writing,In-class test,Heard of it,Unclear,0.19,0.49,3,4,3,2,4,0,-0.9,-4.2,-4.2,,2.1,Medium
R100114,2025-06-05,Workshop Feedback,Student,India,Chennai,K-12 School,Tier 2,Online,Law,Undergraduate,2,20,4,2,4,6,6.9,ChatGPT,,Interview prep,In-class test,Not aware,Allowed with citation,0.26,0.62,3,2,1,4,2,1,1.9,-2.8,-2.4,,4.5,High
R100115,2025-06-15,Panel Discussion Survey,Faculty,UAE,Sharjah,Private University,Tier 1,On-campus,Education,Staff,,40,3,2,4,3,4.3,Grammarly,,Interview prep; Exam revision,Take-home assignment,Read it,Allowed (limited),0.21,0.42,3,5,2,3,3,0,,,,5.0,0.0,Medium
R100116,2025-12-12,Class Survey,Student,India,Delhi,Private University,Tier 2,Online,Arts/Humanities,Undergraduate,2,19,4,2,4,3,4.5,Khanmigo,QuillBot; ChatGPT,Interview prep,Take-home assignment,Heard of it,Allowed (limited),0.28,0.42,4,2,3,3,3,0,-3.9,-1.7,0.5,,0.3,Medium
R100117,2025-11-04,Panel Discussion Survey,Student,Australia,Brisbane,EdTech Bootcamp,Tier 2,Online,Business,Undergraduate,4,23,2,2,4,2,3.9,Perplexity,Khanmigo; Claude,Assignment writing; Exam revision,In-class test,Read it,Unclear,0.18,0.45,4,3,4,3,4,0,-2.0,-0.8,-6.7,,1.8,Medium
R100118,2025-10-31,Workshop Feedback,Student,Canada,Ottawa,Private University,Tier 2,On-campus,Computer Science,Undergraduate,2,21,2,2,4,2,0.0,DALL·E,Claude; QuillBot,Exam revision; Coding help,Take-home assignment,Read it,Not allowed,0.13,0.19,5,3,3,3,4,1,-5.0,-1.4,3.3,,0.2,Medium
R100119,2025-06-16,Workshop Feedback,Student,Australia,Brisbane,K-12 School,Tier 3,On-campus,Arts/Humanities,Postgraduate,2,22,3,2,4,5,3.7,Perplexity,,Exam revision,In-class test,Heard of it,Unclear,0.35,0.37,4,3,4,1,4,0,3.1,-0.4,4.5,,0.5,Medium
R100120,2025-08-08,Class Survey,Student,Australia,Melbourne,K-12 School,Tier 3,Online,Engineering,Undergraduate,2,17,3,2,4,2,3.5,Gemini,Copilot,Exam revision; Assignment writing,Take-home assignment,Not aware,Allowed (limited),0.12,0.62,4,3,3,4,3,0,-0.2,-6.1,2.6,,0.2,Medium
R100121,2025-02-13,Class Survey,Student,Singapore,Singapore,EdTech Bootcamp,Tier 3,On-campus,Sciences,Undergraduate,2,23,3,2,4,3,4.0,Copilot,Gemini; Copilot,Career guidance; Coding help,In-class test,Read it,Unclear,0.45,0.64,4,2,3,4,4,0,6.4,0.4,-0.3,,2.6,Medium
R100122,2025-11-09,Class Survey,Student,India,Delhi,EdTech Bootcamp,Tier 2,On-campus,Business,Undergraduate,4,23,3,2,4,4,6.8,Copilot,Claude; Copilot,Quiz practice; Language improvement,In-class test,Trained on it,Allowed with citation,0.41,0.54,4,4,3,2,4,1,-4.2,-5.6,-2.0,,3.8,Medium
R100123,2025-03-14,Panel Discussion Survey,Student,Singapore,Singapore,EdTech Bootcamp,Tier 2,Hybrid,Arts/Humanities,High School,9,16,2,2,4,3,0.5,Gemini,Copilot,Coding help; Interview prep,Viva/Oral,Trained on it,Allowed with citation,0.62,0.29,4,3,4,2,2,0,-5.0,-1.1,4.2,,2.2,Medium
R100124,2024-12-31,Panel Discussion Survey,Student,USA,Boston,Public University,Tier 2,Hybrid,Business,Undergraduate,1,18,2,2,4,3,2.6,QuillBot,Gemini; ChatGPT; Notion AI,Exam revision; Language improvement; Assignment writing,In-class test,Trained on it,Allowed with citation,0.41,0.17,5,3,4,4,4,1,-6.3,-0.0,1.4,,0.3,Medium
R100125,2025-04-22,Class Survey,Student,India,Hyderabad,K-12 School,Tier 2,Online,Arts/Humanities,Undergraduate,1,21,3,2,4,3,3.0,Notion AI,,Presentation creation; Career guidance; Interview prep,Take-home assignment,Not aware,Allowed (limited),0.42,0.31,4,4,2,4,3,0,0.6,-3.5,3.3,,0.0,Medium
R100126,2025-04-21,Class Survey,Student,UAE,Abu Dhabi,K-12 School,Tier 2,Hybrid,Computer Science,Undergraduate,4,22,2,2,4,1,1.5,Claude,Grammarly; ChatGPT,Assignment writing,Project,Read it,Unclear,0.64,0.6,4,5,5,3,3,0,1.8,5.6,6.2,,1.1,Low
R100127,2025-04-25,Class Survey,Student,India,Kolkata,Community College,Tier 2,Online,Engineering,Postgraduate,1,25,2,2,4,4,4.9,Copilot,Claude,Coding help; Exam revision; Interview prep,Project,Not aware,Allowed (limited),0.36,0.41,3,2,2,3,3,0,-1.4,-4.6,-0.3,,3.0,Medium
R100128,2025-02-27,Workshop Feedback,Student,India,Hyderabad,Public University,Tier 1,Hybrid,Computer Science,Doctorate,1,25,3,2,4,6,8.1,Claude,,Coding help,Online quiz,Not aware,Unclear,0.31,0.43,4,5,3,3,3,0,1.7,-3.0,2.7,,0.0,High
R100129,2025-09-18,Class Survey,Student,India,Chennai,EdTech Bootcamp,Tier 2,Hybrid,Arts/Humanities,Undergraduate,2,19,3,2,4,3,3.4,Copilot,,Quiz practice; Exam revision,In-class test,Heard of it,Allowed with citation,0.19,0.48,5,3,3,2,3,0,2.6,5.1,-0.8,,1.6,Medium
R100130,2025-02-17,Panel Discussion Survey,Student,India,Delhi,Public University,Tier 1,Hybrid,Business,Undergraduate,4,20,4,2,4,4,7.5,Perplexity,,Coding help,Project,Not aware,Unclear,0.68,0.65,3,2,4,3,3,0,9.9,2.7,0.1,,2.2,Medium
R100131,2025-03-10,Panel Discussion Survey,Faculty,UAE,Abu Dhabi,Private University,Tier 2,Online,Law,Staff,,37,4,2,4,4,8.2,Claude,,Assignment writing,Online quiz,Heard of it,Allowed with citation,0.24,0.35,5,4,2,4,4,0,,,,0.0,13.0,Medium
R100132,2025-10-01,Class Survey,Student,Australia,Sydney,Private University,Tier 1,Online,Computer Science,Postgraduate,2,29,4,2,4,6,5.0,Khanmigo,ChatGPT,Career guidance; Coding help; Quiz practice,In-class test,Not aware,Allowed (limited),0.21,0.44,3,3,4,4,5,0,5.1,1.5,-2.2,,2.3,High
R100133,2025-09-20,Panel Discussion Survey,Student,USA,Austin,Public University,Tier 1,Online,Arts/Humanities,Postgraduate,1,22,3,2,4,4,4.9,DALL·E,ChatGPT; Claude; Gemini,Coding help; Interview prep,In-class test,Not aware,Unclear,0.15,0.57,3,4,1,3,4,0,8.7,-6.5,-1.1,,2.8,Medium
R100134,2025-12-11,Class Survey,Student,UAE,Dubai,K-12 School,Tier 3,Hybrid,Arts/Humanities,Undergraduate,3,17,3,2,4,6,8.8,Perplexity,Stable Diffusion; Copilot; ChatGPT,Career guidance; Exam revision,Take-home assignment,Not aware,Allowed with citation,0.21,0.49,4,3,4,3,3,0,1.9,-1.3,0.0,,0.9,High
R100135,2025-07-11,Panel Discussion Survey,Student,India,Kolkata,Public University,Tier 2,Hybrid,Computer Science,Undergraduate,2,17,5,2,4,7,9.6,Grammarly,Copilot; ChatGPT; Gemini,Exam revision,Take-home assignment,Heard of it,Allowed (limited),0.5,0.81,3,4,3,4,1,0,4.1,-3.1,-3.9,,2.3,High
R100136,2025-03-25,Workshop Feedback,Faculty,UAE,Dubai,K-12 School,Tier 1,On-campus,Computer Science,Staff,,39,2,2,4,2,1.6,DALL·E,Notion AI,Presentation creation; Note-making,Take-home assignment,Heard of it,Unclear,0.23,0.51,4,3,3,2,5,0,,,,4.0,5.6,Medium
R100137,2025-07-27,Panel Discussion Survey,Student,India,Chennai,K-12 School,Tier 3,Online,Business,Postgraduate,1,25,3,2,4,2,2.9,ChatGPT,Midjourney,Quiz practice; Research summarization,Take-home assignment,Heard of it,Allowed (limited),0.44,0.31,3,2,2,4,2,0,5.9,-1.7,-0.8,,0.5,Medium
R100138,2025-01-26,Workshop Feedback,Faculty,Canada,Toronto,Private University,Tier 3,On-campus,Arts/Humanities,Staff,,33,3,2,4,2,0.0,ChatGPT,,Research summarization; Assignment writing,Viva/Oral,Read it,Unclear,0.15,0.0,4,4,3,2,3,0,,,,4.0,8.1,Medium
R100139,2025-09-07,Class Survey,Student,India,Mumbai,K-12 School,Tier 3,On-campus,Sciences,Postgraduate,1,29,4,2,4,4,4.8,ChatGPT,,Coding help; Presentation creation; Quiz practice,Project,Not aware,Allowed with citation,0.26,0.57,4,3,3,2,4,0,3.1,-4.0,-2.1,,0.5,Medium
R100140,2025-05-24,Workshop Feedback,Student,UK,Birmingham,Public University,Tier 3,On-campus,Computer Science,Postgraduate,2,25,2,2,4,2,0.0,Copilot,Gemini; ChatGPT; Grammarly,Research summarization,Take-home assignment,Read it,Unclear,0.31,0.18,3,4,2,3,2,1,-8.8,-4.3,2.4,,0.0,Medium
R100141,2025-10-05,Class Survey,Student,UK,Manchester,K-12 School,Tier 3,Hybrid,Education,Undergraduate,3,20,3,2,4,4,5.8,Claude,ChatGPT; DALL·E; Gemini,Coding help; Assignment writing,Take-home assignment,Not aware,Allowed with citation,0.18,0.54,4,5,2,3,3,0,6.7,-6.4,2.0,,0.2,Medium
R100142,2025-04-05,Panel Discussion Survey,Faculty,USA,Boston,EdTech Bootcamp,Tier 2,Hybrid,Education,Staff,,43,3,2,4,4,2.6,Notion AI,,Coding help; Quiz practice; Exam revision,Online quiz,Trained on it,Not allowed,0.15,0.74,3,3,4,3,3,0,,,,0.0,6.7,Medium
R100143,2025-05-11,Panel Discussion Survey,Student,Australia,Perth,Public University,Tier 3,On-campus,Arts/Humanities,Undergraduate,3,20,3,2,4,2,2.7,Copilot,,Interview prep,In-class test,Trained on it,Allowed with citation,0.12,0.26,4,4,3,2,3,0,-2.6,1.1,0.3,,2.3,Medium
R100144,2025-05-02,Class Survey,Student,India,Hyderabad,K-12 School,Tier 3,On-campus,Medicine,Undergraduate,2,23,3,2,4,5,6.6,ChatGPT,DALL·E; ChatGPT,Coding help,Project,Read it,Not allowed,0.34,0.57,3,3,2,3,3,0,1.5,-2.7,3.1,,1.1,Medium
R100145,2025-08-28,Class Survey,Student,Australia,Sydney,Private University,Tier 2,On-campus,Sciences,Postgraduate,2,26,4,2,4,5,6.2,Claude,,Career guidance,Viva/Oral,Heard of it,Allowed with citation,0.41,0.69,3,3,3,4,2,0,-2.3,0.6,-2.2,,1.8,High
R100146,2025-08-20,Panel Discussion Survey,Student,UK,Manchester,Private University,Tier 3,On-campus,Medicine,Undergraduate,4,21,3,2,4,4,3.5,ChatGPT,Gemini,Quiz practice,Online quiz,Read it,Unclear,0.33,0.51,2,2,4,3,3,0,7.4,1.2,-2.6,,1.6,Medium
R100147,2025-01-07,Class Survey,Student,Canada,Vancouver,K-12 School,Tier 3,On-campus,Law,Undergraduate,4,19,3,2,4,5,5.6,Perplexity,Notion AI; ChatGPT; Khanmigo,Quiz practice; Coding help,Take-home assignment,Not aware,Allowed (limited),0.57,0.51,5,3,4,2,4,0,0.9,0.3,2.1,,3.4,Medium
R100148,2025-11-13,Workshop Feedback,Student,USA,San Francisco,Private University,Tier 3,Hybrid,Business,Undergraduate,1,17,2,2,4,2,4.8,Gemini,ChatGPT,Presentation creation; Coding help,Project,Trained on it,Allowed with citation,0.38,0.0,2,3,3,3,3,0,2.5,-1.1,-1.7,,4.3,Medium
R100149,2025-09-29,Panel Discussion Survey,Student,Canada,Toronto,Community College,Tier 3,On-campus,Law,High School,10,17,2,2,4,4,4.0,ChatGPT,Gemini; Copilot,Exam revision; Coding help,In-class test,Not aware,Allowed with citation,0.28,0.38,5,2,4,2,5,1,-3.5,-1.5,-3.6,,1.8,Medium
R100150,2025-10-12,Panel Discussion Survey,Faculty,Singapore,Singapore,Public University,Tier 2,On-campus,Sciences,Staff,,57,5,2,4,5,6.0,ChatGPT,Khanmigo; Claude,Interview prep; Exam revision; Coding help,In-class test,Read it,Allowed with citation,0.73,0.61,3,2,3,2,3,0,,,,1.0,6.8,High
R100151,2025-09-26,Class Survey,Faculty,India,Chennai,Private University,Tier 2,On-campus,Sciences,Staff,,34,3,2,4,5,4.9,Grammarly,DALL·E; ChatGPT,Coding help,Project,Read it,Allowed (limited),0.53,0.64,4,2,3,3,2,0,,,,3.0,15.3,Medium
R100152,2025-05-05,Class Survey,Student,Canada,Vancouver,K-12 School,Tier 2,Hybrid,Business,Postgraduate,2,29,3,2,4,3,5.6,Gemini,DALL·E,Quiz practice; Language improvement,In-class test,Read it,Unclear,0.22,0.62,5,5,4,5,3,0,4.3,-0.9,3.7,,3.7,Medium
R100153,2025-12-11,Panel Discussion Survey,Student,UK,Manchester,Public University,Tier 2,Online,Sciences,Undergraduate,1,21,3,2,4,6,7.4,Grammarly,Grammarly; Stable Diffusion; Copilot,Coding help; Research summarization; Presentation creation,Take-home assignment,Read it,Allowed (limited),0.5,0.36,4,3,3,3,1,0,7.1,-2.3,1.9,,0.0,High
R100154,2025-09-22,Panel Discussion Survey,Student,UAE,Abu Dhabi,Community College,Tier 3,On-campus,Computer Science,Undergraduate,2,23,4,2,4,4,3.3,Khanmigo,ChatGPT; Gemini,Assignment writing,Project,Not aware,Unclear,0.74,0.19,4,2,3,3,4,0,4.7,-2.5,-3.5,,1.1,Medium
R100155,2025-02-25,Panel Discussion Survey,Student,Australia,Melbourne,Public University,Tier 3,On-campus,Education,Undergraduate,3,19,1,2,4,5,6.0,Copilot,Notion AI; Midjourney,Exam revision; Language improvement,Take-home assignment,Not aware,Allowed with citation,0.53,0.0,2,3,2,3,5,0,-0.3,-4.7,-0.9,,0.9,Medium
R100156,2025-04-03,Class Survey,Student,India,Mumbai,K-12 School,Tier 2,Hybrid,Engineering,Undergraduate,3,23,4,2,4,4,4.3,ChatGPT,,Presentation creation,Take-home assignment,Read it,Unclear,0.6,0.78,4,3,5,4,4,0,3.2,3.6,3.4,,0.0,Medium
R100157,2025-02-08,Class Survey,Student,UAE,Abu Dhabi,Private University,Tier 3,On-campus,Arts/Humanities,Undergraduate,2,22,3,2,4,5,8.8,Notion AI,Notion AI; Midjourney; Khanmigo,Presentation creation; Exam revision,Online quiz,Trained on it,Unclear,0.47,0.44,3,4,5,2,2,0,1.9,-3.7,-2.8,,1.8,Medium
R100158,2025-09-22,Panel Discussion Survey,Student,India,Kolkata,Private University,Tier 1,Online,Engineering,Undergraduate,2,21,3,2,4,4,4.7,ChatGPT,ChatGPT; Copilot; Midjourney,Exam revision,Take-home assignment,Not aware,Allowed with citation,0.4,0.19,4,3,3,5,2,0,6.4,0.5,-2.8,,0.7,Medium
R100159,2025-11-23,Class Survey,Student,India,Chennai,Public University,Tier 3,Online,Computer Science,Undergraduate,1,17,3,2,4,5,3.2,Khanmigo,Notion AI; Khanmigo; Stable Diffusion,Assignment writing; Research summarization; Presentation creation,Project,Read it,Unclear,0.61,0.21,2,5,4,3,4,1,-8.4,-1.0,4.0,,2.8,Medium
